id,batch,folio,date,year,correspondent,n_alpha_rows,has_syllabary,has_geminate,has_nulls,n_nulls,has_fw,n_fw,has_nomenclator,n_nomenclator,has_latin_fw,notes
1,1,1r,1450,1450,Nicodemo Tranchedino de Pontremulo,3,True,True,True,8,True,,True,45,False,"Master cipher. 3 full alphabets + syllabary + extensive nomenclator with cities, military, diplomatic terms"
2,1,1r_at,1450,1450,Antonio de Tricio,4,True,False,True,10,True,,True,40,False,4 alphabet rows = high homophone depth. Full syllabary. City nomenclator
3,1,2r,1450,1450,"PetroMaria Rubeo, Comte Placeti",2,False,True,True,8,False,,True,50,False,"Local Parma/Cremona focus. Nulls include Latin words: dd, L, n, N, o, φ, sed, jam"
4,1,2v,1450,1450,JohefrancIsco de Plano Meleti,1,False,True,True,11,False,,True,30,False,Simple substitution only. Nihil importat: B3...xp markers
5,1,3r,1450,1450,Francisco Isulano de Tricio,4,False,True,True,15,False,,True,55,False,"4 rows = highest homophone level. Very extensive local nomenclator (Milano, Leccho, Como, Brescia)"
6,1,3v,1450-10-25,1450,Tristano Sforza,1,False,True,True,14,True,,True,20,False,"Simple substitution + FW encoding. Italian FWs: che, non, si, per, come"
7,1,4r,1450-11-25,1450,Marchione Mantue,3,True,False,True,10,True,,True,12,False,"Full syllabary. Italian FWs: Come, Huy, Vuy, Quando"
8,1,4v,1451-07,1451,Detesalvio Heronis (Florentine orator),3,False,True,True,11,True,,True,25,False,"FWs: Che, Perche, Quando, Quale, Quanto, Presto, Aduto, Soccorso"
9,1,5r,1451-12-20,1451,Cardinali Andegavensi,3,True,False,True,13,True,,True,20,False,Full syllabary. Mixed Latin/Italian FWs
10,1,5v,1453-02-06,1453,Johanne Bono de Mortaria,2,False,True,True,14,True,,True,25,False,Nihil importat: + ⊗ markers. In cyphre vel in Latino nil importat
11,1,6r,1453-05-08,1453,Francisco Philelfo,3,False,False,True,12,False,,False,0,False,"MINIMAL cipher for scholar. No nomenclator, no FW encoding. Alphabet + nulls only"
12,1,6v,1453-07-21,1453,Francisco Vicecomite,3,False,True,True,12,True,,True,15,False,"Visconti cipher. FWs: Qua, que, qui, quo, che, come, nuy, Duy"
13,1,7r,1453-09-28,1453,Antonio de Pistorio,2,False,True,True,15,True,,True,30,False,"Nihil importat: ÷ ⊗ markers. Nulls include: nil, adunq. Extensive nomenclator"
14,1,7v,1453,1453,Epo Parmensi (Bishop of Parma),3,True,False,True,10,True,,True,30,False,"Full syllabary. FWs: Que, qui, quo, qua, come, qn, la S.v., Nuy, vuy"
15,1,8r,1454-01,1454,Serenissimo Rege Renato,2,False,True,True,18,True,,True,25,False,"King René cipher. Nulls include words: perch, qn"
16,1,8v,1454-10-20,1454,Simone de Turricella,2,False,True,True,20,False,,True,25,False,"CRITICAL: Nulls include Latin FWs as nulls: pro, ad, et, sed, caualli, fanti, presto"
17,1,9r,1454-11-20,1454,Johanne Cossa,2,False,True,True,11,True,,True,30,False,"Italian FWs: Qua, of, che, non, nuy, vuy, per, come, quando"
18,1,9v,1455-03-08,1455,Bartholomeo Ryuerio,3,False,False,True,11,False,,True,12,False,Small cipher. Minimal nomenclator
19,1,10r,1455-08-25,1455,Lodouico Petronio Senensi,2,False,False,False,0,True,,True,25,False,Nihil importat: O / ... O markers. FWs + concept codes
20,1,10v,1455-11-06,1455,Orpheo de Rycauo,3,False,False,True,12,False,,True,10,False,"Nulls include words: cavalli, donari, fanni, gentedarme"
21,1,11r,1456-05-21,1456,Nicolao Maholeone Ferrariensi,4,False,True,True,9,False,,True,20,False,4 rows. Ferrara ambassador
22,1,11v,1456-06-13,1456,Johanne de Serra Genuensi,2,False,False,True,6,True,,True,15,False,"Small cipher. Italian FWs: Perche, che, Il perche"
23,1,12r,1456-10-12,1456,Bracio Balione Perusino,3,True,False,True,11,True,,True,30,False,"Full syllabary. FWs: Qua, que, qui, quo, per, che, non, come"
24,1,12v,1456-10-12,1456,Philippo Bonacursy Perusino,2,False,False,True,9,True,,True,20,False,Paired with Bracio Balione cipher above
25,1,13r,1457-01-28,1457,Constantino de La Porta,3,True,False,True,13,True,,True,30,False,Full syllabary. Many cardinals in nomenclator
26,1,13v,1457-04-20,1457,Prospero Camulio (prima),4,False,True,True,13,True,,True,55,False,VERY extensive nomenclator. 4 alphabet rows. Major diplomatic cipher
27,1,14r,1457,1457,Frederico Urbini Duce,3,True,False,True,15,True,,True,40,False,"Duke of Urbino. Full syllabary. Nulls include FW-words: che, per, non"
28,1,14v,1457-06-13,1457,Baptista de Brendis,2,False,True,True,14,True,,True,30,False,"Italian FWs with Pertanto, Quando, Siche"
29,1,15r,1457,1457,Laurentio Terentio Pisaurensi,2,False,True,True,6,True,,True,15,False,Small cipher for Pesaro correspondent
30,1,15v,1457-10-28,1457,Corradino Georgio,3,True,False,True,14,True,,True,30,True,"Latin FWs: Et, bus, cum, rum. Also syllabary on facing page"
31,1,16r,1457,1457,Johanne Caymo,3,True,False,True,12,True,,True,30,False,Full syllabary + FWs + nomenclator. Standard full-featured cipher
32,1,16v,1458-07-06,1458,Ferdinando Duce Calabrie,3,True,False,True,10,True,,True,50,False,Major royal cipher. Full syllabary. 50+ nomenclator entries
33,1,17r,1458-07-19,1458,Lancelotho Bossio,3,False,False,True,10,True,,True,50,False,Extensive nomenclator. Multiple honorific codes
34,1,17v,1458-08-25,1458,Johe Ambrosio de Guezate,2,False,True,True,11,False,,True,30,False,"Nulls include: per, non (FWs used as nulls)"
35,1,18r,1458,1458,D. Augustino Rubeo,3,True,False,True,8,True,,True,35,False,Full syllabary (Ab-Vb). 3-column nomenclator
36,1,18v,1458,1458,Baptista Brendi (from Rome),2,True,False,False,0,False,,True,30,False,"Full syllabary. Financial nomenclator (Termine, Uno anno...Dece anni, Ducati, Mille...)"
37,1,19r,1458-11-19,1458,Blasio de Gradi,2,False,False,True,20,False,,True,25,False,"Military nomenclator focus: Orij, Carretti, Bayli, Naue, Galee, Armata, Schiopetteri"
38,1,19v,1458-12-04,1458,Episcopo Reatino,3,False,False,True,10,True,,True,30,False,"FWs: Qua, que, of, che, nuy, vuy, per, non, come"
39,1,20r,1458-12-12,1458,Bracio de Baleomb. Perusino,2,False,True,True,13,True,,True,25,False,"Italian FWs: Qua, que, of, che, come, Huy, vuy, quello"
40,1,20v,1458,1458,Francisco Maletta,2,False,True,True,8,True,,True,40,False,"Nulls: qq, rrr, fff, dd, g, notp, sic. FWs: Qua, que, non, pch, come, siche"
41,1,21r,1459-01-10,1459,Antonio Carapho,3,False,True,True,9,False,,True,40,False,Royal orator cipher. Extensive nomenclator
42,1,21v,1459-01-18,1459,Johe Galeaz de Campofregoso,2,False,True,True,14,True,,True,40,False,"Italian vernacular FWs + nomenclator. Nulls include: Voy, per"
43,1,22r,1459-01-21,1459,Andrea de Granocio,3,True,False,True,14,True,,True,50,False,FULL cipher: 3 alphabets + syllabary + FWs + 50 nomenclator. 3-column layout
44,1,22v,1459,1459,Jo. Blanchu / Lancelloti Macedonia (Rege Ferdinando),2,False,True,False,0,False,,True,5,False,"Special: 'Dux Mediolani—meus'. Duplicate section uses syllable codes: et, an, ab, ne, ut, si"
45,1,23r,1459-07,1459,Johanne Rege Aragonum,4,False,True,True,10,True,,True,65,False,MOST EXTENSIVE nomenclator seen. 4 alpha rows. 3-column nomenclator. Geographic+diplomatic+military
46,1,23v,1459-10-13,1459,Lodouico de Empuig Magro Montesfe,3,False,False,True,15,True,,True,40,False,"Nulls include: fic, fi, et. Geographic nomenclator"
47,1,24r,1459-11-21,1459,Nicolao Carissimo Canrio,2,False,True,True,16,False,,True,35,False,Diplomatic nomenclator with many geopolitical codes
48,1,24v,1459,1459,Episcopo Comensi,2,False,False,True,10,True,,True,30,False,"Italian FWs: Quando, qto, Qua, que, qui, che, Nuy, Vuy, come"
49,1,25r,1460-06,1460,Simone de Spoleto,2,False,False,True,8,True,,True,15,False,Small cipher. Italian FWs
50,1,25v,1460-06-08,1460,Nicolao Pendalia,2,False,False,True,9,True,,True,15,False,Small cipher. Italian FWs
51,1,26r,1460-06-13,1460,Emanuele de Iacoppo,3,False,False,False,0,True,,True,30,False,"FWs: Qua, que, qui, quo, of, che, non, per, nuy, vuy, come"
52,1,26v,1460-07-30,1460,Serenissimo Rege Ferdinando,2,True,True,True,4,True,,True,25,False,Royal Neapolitan cipher. Full syllabary. FWs present
53,1,27r,1460-09-26,1460,R.D. Ja. Lucen Epo Papien (now Cardinal),3,False,False,True,12,True,,True,30,False,"Cardinal cipher. FWs: Qua, que, come, che, no, per"
54,1,27v,1460-08-22,1460,Antonio de Tricio (to Naples),2,True,True,True,8,True,,True,30,False,"Full syllabary. FWs: Qua, que, qui, che, pche, qn, come, Non"
55,1,28r,1460-09-11,1460,Roberto de S. Severino,3,False,True,True,9,True,,True,30,False,"FWs: Qua, o_ue, o_ui, of, che, nuy, vuy, come, per, non"
56,1,28v,1460-10-21,1460,R.D. Lo. de Lodouias Aptico Protonotario,3,True,True,True,8,True,,True,40,False,FULL cipher: 3 alphabets + syllabary + gemine + FWs + 40 nomenclator
57,1,29r,1460,1460,Prospero Camulio (seconda),3,True,True,True,10,True,,True,70,False,MOST COMPLEX cipher in collection. Full syllabary + 70+ nomenclator entries
58,1,29v,1461-02-06,1461,Antonio Cincinello Regio oratore,3,True,True,True,8,False,,True,25,False,Full syllabary. No separate FW section
59,1,30r,1461-04-13,1461,Comite Camerlengo,3,True,False,True,11,True,,True,40,False,"Full syllabary. Nulls include: ta, te, ti, to, tu (syllables as nulls!)"
60,1,30v,1461-04-17,1461,Abbate de Casanoua,2,False,False,True,11,True,,True,30,False,"FWs: Qua, que, qui, quo, come, che, non, per, vuy, nuy"
61,1,31r,1461-06-01,1461,Virgilio Malurio Bononensi,3,True,True,True,8,True,,True,20,False,Full syllabary. Bologna focus
62,1,31v,1461-06-15,1461,P. de Campofregoso Archiepo Janue,2,True,False,True,14,True,,True,40,False,"Full syllabary. Nulls include: fic, non. Genoese geographic nomenclator"
63,1,32r,1461,1461,Johannemingo & cum Amico,1,False,True,True,7,False,,True,30,False,"UNUSUAL: Uses Latin/Italian WORDS as nomenclator codes (saluz, robur, amoeps, dic, nichil). Nulls: dire, fare, nienta, questo"
64,1,32v,1461-05-18,1461,Matheo de Capua,2,False,True,True,7,True,,True,30,False,"Italian FWs: Come, qn, che, perche, qua, que, qui, quo"
65,1,33r,1461-03-18,1461,Johanne de Valignano,3,False,True,True,9,True,,True,30,False,"Italian FWs: Come, o_uando, che, Perche"
66,1,33v,1461,1461,Matheo de Capua (via Othonis de Carreto),3,False,True,True,13,False,,True,30,False,"Nulls include Latin: semp, vbiq, hic, &, Tum, ctra, qn, fich, ptato"
67,1,34r,1461-06-12,1461,Carli. Ursino,2,False,False,True,10,True,,True,30,False,Cardinal Ursini cipher. FWs present
68,1,34v,1461-06-13,1461,Neapolione Ursino,2,True,True,True,9,True,,True,20,False,Full syllabary. FWs present
69,1,35r,1461-06-25,1461,Hieronymo Spinula,2,False,False,True,12,True,,True,25,False,Genoese cipher. Nulls include: qui
70,1,35v,1462-03-02,1462,Antonio de Noceto,3,False,False,True,16,True,,True,30,False,Many nulls. FWs present
