folio,lang,quire,n_tokens,n_lines,first_token
f100r,A,19,113,10,pcheol
f100v,A,19,92,9,tolchd
f101r,A,19,227,10,pcheol
f101v,A,19,230,10,zairaly
f102r1,A,19,109,13,daorod
f102r2,A,19,137,17,lzaiz
f102v1,A,19,128,14,poaiin
f102v2,A,19,183,17,podeecsho
f103r,B,20,527,54,pchedal
f103v,B,20,453,46,pol
f104r,B,20,438,45,pchdar
f104v,B,20,458,44,pchdoiin
f105r,B,20,368,37,paiindar
f105v,B,20,391,38,polairy
f106r,B,20,432,47,pcshdar
f106v,B,20,451,47,fcsheda
f107r,B,20,491,51,pchdlar
f107v,B,20,457,49,kaizar
f108r,B,20,492,50,teodeeor
f108v,B,20,569,53,pchedal
f10r,A,2,91,12,pchocthy
f10v,A,2,54,7,paiindaiin
f111r,B,20,615,54,kcholchdar
f111v,B,20,561,51,kocshey
f112r,B,20,396,45,folchey
f112v,B,20,415,47,keeoal
f113r,B,20,518,51,pchezfchy
f113v,B,20,483,49,folorarom
f114r,B,20,448,45,tchedol
f114v,B,20,363,41,pchdol
f115r,B,20,445,45,fswhdar
f115v,B,20,401,45,tchedor
f116r,B,20,539,50,kchdpy
f116v,B,20,6,4,{poxleber...}
f11r,A,2,55,7,tcshol
f11v,A,2,49,6,poldchody
f13r,A,2,77,10,torcshor
f13v,A,2,64,10,koair
f14r,A,2,76,13,pchodaiin
f14v,A,2,69,9,pdychoiin
f15r,A,2,92,15,tcshor
f15v,A,2,70,12,poror
f16r,A,2,78,13,pocheody
f16v,A,2,73,13,pchroiin
f17r,A,3,79,12,{mallior allor...}
f17v,A,3,133,23,pchodol
f18r,A,3,82,14,pdrairdy
f18v,A,3,69,10,told
f19r,A,3,75,13,pchor
f19v,A,3,77,14,pochaiin
f1r,A,1,204,24,fachyz
f1v,A,1,89,10,kchzy
f20r,A,3,84,13,kdchody
f20v,A,3,85,11,faiizar
f21r,A,3,95,12,pchor
f21v,A,3,56,8,toldcshy
f22r,A,3,106,13,pol
f22v,A,3,75,16,pyzaiinor
f23r,A,3,102,11,pydchdom
f23v,A,3,87,12,podairol
f24r,A,3,108,20,porory
f24v,A,3,80,16,tchodar
f25r,A,4,48,6,fcholdy
f25v,A,4,57,7,poeeaiin
f26r,B,4,86,10,pcsheoky
