candidate,n_values,H_given_quad_plus_var,delta_H_bits,pct_residual_explained
suffix (exact),33,0.090812,1.09648,92.351322
prev_token,6250,0.348466,0.838825,70.650308
folio,226,0.442124,0.745168,62.762001
prev_quad,4201,0.45251,0.734782,61.88721
line_no,82,0.691662,0.495629,41.744532
prev_suffix,34,0.836751,0.350541,29.524425
prev_m_core,1028,0.837231,0.350061,29.484007
line_len,45,0.873227,0.314065,26.452179
pos,53,0.901604,0.285688,24.062138
section,9,0.916447,0.270845,22.811972
rel_line_decile,10,0.935531,0.251761,21.204646
rel_pos_decile,10,0.941477,0.245815,20.703842
prev_prefix,9,0.968997,0.218295,18.38596
prev_gallows,10,1.028415,0.158877,13.381433
core (exact raw),2001,1.050322,0.13697,11.536353
is_last_word,2,1.135359,0.051933,4.374031
is_first_word,2,1.141883,0.045408,3.824527
