physical_bifolium_id,extant_gathering_index,historical_quire_mark,secondary_fold_5,primary_leave_one_gathering_out_key,assignment_rule
g01_b01,1,1,1,g01,deterministic_quire_spread_balanced_v1
g01_b02,1,1,2,g01,deterministic_quire_spread_balanced_v1
g01_b03,1,1,3,g01,deterministic_quire_spread_balanced_v1
g01_b04,1,1,4,g01,deterministic_quire_spread_balanced_v1
g02_b01,2,2,4,g02,deterministic_quire_spread_balanced_v1
g02_b02,2,2,0,g02,deterministic_quire_spread_balanced_v1
g02_b03,2,2,1,g02,deterministic_quire_spread_balanced_v1
g02_b04,2,2,2,g02,deterministic_quire_spread_balanced_v1
g03_b01,3,3,3,g03,deterministic_quire_spread_balanced_v1
g03_b02,3,3,4,g03,deterministic_quire_spread_balanced_v1
g03_b03,3,3,0,g03,deterministic_quire_spread_balanced_v1
g03_b04,3,3,1,g03,deterministic_quire_spread_balanced_v1
g04_b01,4,4,2,g04,deterministic_quire_spread_balanced_v1
g04_b02,4,4,3,g04,deterministic_quire_spread_balanced_v1
g04_b03,4,4,4,g04,deterministic_quire_spread_balanced_v1
g04_b04,4,4,0,g04,deterministic_quire_spread_balanced_v1
g05_b01,5,5,0,g05,deterministic_quire_spread_balanced_v1
g05_b02,5,5,1,g05,deterministic_quire_spread_balanced_v1
g05_b03,5,5,2,g05,deterministic_quire_spread_balanced_v1
g05_b04,5,5,3,g05,deterministic_quire_spread_balanced_v1
g06_b01,6,6,1,g06,deterministic_quire_spread_balanced_v1
g06_b02,6,6,2,g06,deterministic_quire_spread_balanced_v1
g06_b03,6,6,3,g06,deterministic_quire_spread_balanced_v1
g06_b04,6,6,4,g06,deterministic_quire_spread_balanced_v1
g07_b01,7,7,4,g07,deterministic_quire_spread_balanced_v1
g07_b02,7,7,0,g07,deterministic_quire_spread_balanced_v1
g07_b03,7,7,1,g07,deterministic_quire_spread_balanced_v1
g07_b04,7,7,2,g07,deterministic_quire_spread_balanced_v1
g08_b01,8,8,2,g08,deterministic_quire_spread_balanced_v1
g08_b02,8,8,3,g08,deterministic_quire_spread_balanced_v1
g09_b01,9,9,2,g09,deterministic_quire_spread_balanced_v1
g10_b01,10,10,4,g10,deterministic_quire_spread_balanced_v1
g11_b01,11,11,3,g11,deterministic_quire_spread_balanced_v1
g12_b01,12,12,4,g12,deterministic_quire_spread_balanced_v1
g13_b01,13,13,4,g13,deterministic_quire_spread_balanced_v1
g13_b02,13,13,0,g13,deterministic_quire_spread_balanced_v1
g13_b03,13,13,1,g13,deterministic_quire_spread_balanced_v1
g13_b04,13,13,2,g13,deterministic_quire_spread_balanced_v1
g13_b05,13,13,3,g13,deterministic_quire_spread_balanced_v1
g14_b01,14,14,2,g14,deterministic_quire_spread_balanced_v1
g15_b01,15,15,3,g15,deterministic_quire_spread_balanced_v1
g15_b02,15,15,4,g15,deterministic_quire_spread_balanced_v1
g16_b01,16,17,0,g16,deterministic_quire_spread_balanced_v1
g16_b02,16,17,1,g16,deterministic_quire_spread_balanced_v1
g17_b01,17,19,0,g17,deterministic_quire_spread_balanced_v1
g17_b02,17,19,1,g17,deterministic_quire_spread_balanced_v1
g18_b01,18,20,0,g18,deterministic_quire_spread_balanced_v1
g18_b02,18,20,1,g18,deterministic_quire_spread_balanced_v1
g18_b03,18,20,2,g18,deterministic_quire_spread_balanced_v1
g18_b04,18,20,3,g18,deterministic_quire_spread_balanced_v1
g18_b05,18,20,4,g18,deterministic_quire_spread_balanced_v1
g18_b06,18,20,0,g18,deterministic_quire_spread_balanced_v1
