folio_number,folio_id,extant,extant_gathering_index,historical_quire_mark,physical_bifolium_id,bifolium_position_outer_to_inner,bifolium_side,gathering_structure,pairing_confidence
1,f1,True,1,1,g01_b01,1,A,standard_nested,direct
2,f2,True,1,1,g01_b02,2,A,standard_nested,direct
3,f3,True,1,1,g01_b03,3,A,standard_nested,direct
4,f4,True,1,1,g01_b04,4,A,standard_nested,direct
5,f5,True,1,1,g01_b04,4,B,standard_nested,direct
6,f6,True,1,1,g01_b03,3,B,standard_nested,direct
7,f7,True,1,1,g01_b02,2,B,standard_nested,direct
8,f8,True,1,1,g01_b01,1,B,standard_nested,direct
9,f9,True,2,2,g02_b01,1,A,standard_nested_with_cut_leaf,direct_plus_inferred_missing
10,f10,True,2,2,g02_b02,2,A,standard_nested_with_cut_leaf,direct_plus_inferred_missing
11,f11,True,2,2,g02_b03,3,A,standard_nested_with_cut_leaf,direct_plus_inferred_missing
12,f12,False,2,2,g02_b04,4,A,standard_nested_with_cut_leaf,direct_plus_inferred_missing
13,f13,True,2,2,g02_b04,4,B,standard_nested_with_cut_leaf,direct_plus_inferred_missing
14,f14,True,2,2,g02_b03,3,B,standard_nested_with_cut_leaf,direct_plus_inferred_missing
15,f15,True,2,2,g02_b02,2,B,standard_nested_with_cut_leaf,direct_plus_inferred_missing
16,f16,True,2,2,g02_b01,1,B,standard_nested_with_cut_leaf,direct_plus_inferred_missing
17,f17,True,3,3,g03_b01,1,A,standard_nested,direct
18,f18,True,3,3,g03_b02,2,A,standard_nested,direct
19,f19,True,3,3,g03_b03,3,A,standard_nested,direct
20,f20,True,3,3,g03_b04,4,A,standard_nested,direct
21,f21,True,3,3,g03_b04,4,B,standard_nested,direct
22,f22,True,3,3,g03_b03,3,B,standard_nested,direct
23,f23,True,3,3,g03_b02,2,B,standard_nested,direct
24,f24,True,3,3,g03_b01,1,B,standard_nested,direct
25,f25,True,4,4,g04_b01,1,A,standard_nested,direct
26,f26,True,4,4,g04_b02,2,A,standard_nested,direct
27,f27,True,4,4,g04_b03,3,A,standard_nested,direct
28,f28,True,4,4,g04_b04,4,A,standard_nested,direct
29,f29,True,4,4,g04_b04,4,B,standard_nested,direct
30,f30,True,4,4,g04_b03,3,B,standard_nested,direct
31,f31,True,4,4,g04_b02,2,B,standard_nested,direct
32,f32,True,4,4,g04_b01,1,B,standard_nested,direct
33,f33,True,5,5,g05_b01,1,A,standard_nested,direct
34,f34,True,5,5,g05_b02,2,A,standard_nested,direct
35,f35,True,5,5,g05_b03,3,A,standard_nested,direct
36,f36,True,5,5,g05_b04,4,A,standard_nested,direct
37,f37,True,5,5,g05_b04,4,B,standard_nested,direct
38,f38,True,5,5,g05_b03,3,B,standard_nested,direct
39,f39,True,5,5,g05_b02,2,B,standard_nested,direct
40,f40,True,5,5,g05_b01,1,B,standard_nested,direct
41,f41,True,6,6,g06_b01,1,A,standard_nested,direct
42,f42,True,6,6,g06_b02,2,A,standard_nested,direct
43,f43,True,6,6,g06_b03,3,A,standard_nested,direct
44,f44,True,6,6,g06_b04,4,A,standard_nested,direct
45,f45,True,6,6,g06_b04,4,B,standard_nested,direct
46,f46,True,6,6,g06_b03,3,B,standard_nested,direct
47,f47,True,6,6,g06_b02,2,B,standard_nested,direct
48,f48,True,6,6,g06_b01,1,B,standard_nested,direct
49,f49,True,7,7,g07_b01,1,A,standard_nested,direct
50,f50,True,7,7,g07_b02,2,A,standard_nested,direct
51,f51,True,7,7,g07_b03,3,A,standard_nested,direct
52,f52,True,7,7,g07_b04,4,A,standard_nested,direct
53,f53,True,7,7,g07_b04,4,B,standard_nested,direct
54,f54,True,7,7,g07_b03,3,B,standard_nested,direct
55,f55,True,7,7,g07_b02,2,B,standard_nested,direct
56,f56,True,7,7,g07_b01,1,B,standard_nested,direct
57,f57,True,8,8,g08_b01,1,A,five_bifolia_three_missing_central,direct_plus_inferred_missing
58,f58,True,8,8,g08_b02,2,A,five_bifolia_three_missing_central,direct_plus_inferred_missing
59,f59,False,8,8,g08_b03,3,A,five_bifolia_three_missing_central,direct_plus_inferred_missing
60,f60,False,8,8,g08_b04,4,A,five_bifolia_three_missing_central,direct_plus_inferred_missing
61,f61,False,8,8,g08_b05,5,A,five_bifolia_three_missing_central,direct_plus_inferred_missing
62,f62,False,8,8,g08_b05,5,B,five_bifolia_three_missing_central,direct_plus_inferred_missing
63,f63,False,8,8,g08_b04,4,B,five_bifolia_three_missing_central,direct_plus_inferred_missing
64,f64,False,8,8,g08_b03,3,B,five_bifolia_three_missing_central,direct_plus_inferred_missing
65,f65,True,8,8,g08_b02,2,B,five_bifolia_three_missing_central,direct_plus_inferred_missing
66,f66,True,8,8,g08_b01,1,B,five_bifolia_three_missing_central,direct_plus_inferred_missing
67,f67,True,9,9,g09_b01,1,A,single_foldout_bifolium,direct
68,f68,True,9,9,g09_b01,1,B,single_foldout_bifolium,direct
69,f69,True,10,10,g10_b01,1,A,single_foldout_bifolium,direct
70,f70,True,10,10,g10_b01,1,B,single_foldout_bifolium,direct
71,f71,True,11,11,g11_b01,1,A,single_foldout_bifolium,direct
72,f72,True,11,11,g11_b01,1,B,single_foldout_bifolium,direct
73,f73,True,12,12,g12_b01,1,A,single_bifolium_cut_leaf,direct_plus_inferred_missing
74,f74,False,12,12,g12_b01,1,B,single_bifolium_cut_leaf,direct_plus_inferred_missing
75,f75,True,13,13,g13_b01,1,A,five_nested_bifolia,direct
76,f76,True,13,13,g13_b02,2,A,five_nested_bifolia,direct
77,f77,True,13,13,g13_b03,3,A,five_nested_bifolia,direct
78,f78,True,13,13,g13_b04,4,A,five_nested_bifolia,direct
79,f79,True,13,13,g13_b05,5,A,five_nested_bifolia,direct
80,f80,True,13,13,g13_b05,5,B,five_nested_bifolia,direct
81,f81,True,13,13,g13_b04,4,B,five_nested_bifolia,direct
82,f82,True,13,13,g13_b03,3,B,five_nested_bifolia,direct
83,f83,True,13,13,g13_b02,2,B,five_nested_bifolia,direct
84,f84,True,13,13,g13_b01,1,B,five_nested_bifolia,direct
85,f85,True,14,14,g14_b01,1,A,single_six_panel_foldout_bifolium,direct
