bifolium,fold,midfix_lag1,midfix_n,suffix_lag1,suffix_n
B001_008,2,0.23076923076923078,13,0.8461538461538461,13
B002_007,2,0.3333333333333333,9,0.3333333333333333,9
B003_006,3,0.42105263157894735,19,0.47368421052631576,19
B004_005,3,0.25,12,0.75,12
B009_016,0,0.3333333333333333,12,0.4166666666666667,12
B010_015,4,0.3333333333333333,6,0.6,5
B011_014,2,0.2222222222222222,9,0.7777777777777778,9
B012_013,2,0.0,2,0.5,2
B017_024,1,0.3157894736842105,19,0.3684210526315789,19
B018_023,1,0.38461538461538464,13,0.38461538461538464,13
B019_022,1,0.3333333333333333,3,0.0,3
B020_021,4,0.21428571428571427,14,0.42857142857142855,14
B025_032,4,0.1,10,0.5,10
B026_031,1,0.35714285714285715,14,0.6428571428571429,14
B027_030,0,0.42857142857142855,14,0.6428571428571429,14
B028_029,3,0.35714285714285715,14,0.5,14
B033_040,3,0.7777777777777778,9,0.7777777777777778,9
B034_039,2,0.05555555555555555,18,0.29411764705882354,17
B035_038,1,0.3333333333333333,6,0.8333333333333334,6
B036_037,0,0.3333333333333333,3,0.3333333333333333,3
B041_048,1,0.1,10,0.6666666666666666,9
B042_047,4,0.4444444444444444,27,0.5555555555555556,27
B043_046,0,0.3333333333333333,15,0.5333333333333333,15
B044_045,0,0.5333333333333333,15,0.7142857142857143,14
B049_056,0,0.5,14,0.5714285714285714,14
B050_055,4,0.5384615384615384,13,0.46153846153846156,13
B051_054,1,0.2,10,0.5,10
B052_053,3,0.375,8,0.125,8
B057_066,0,0.2222222222222222,9,0.4444444444444444,9
B058_065,0,,0,,0
B067_068,0,0.0,4,0.25,4
B069_070,0,0.25,4,0.75,4
B075_084,3,0.3409090909090909,44,0.7727272727272727,44
B076_083,4,0.25,28,0.6428571428571429,28
B077_082,0,0.4,45,0.7111111111111111,45
B078_081,1,0.37037037037037035,27,0.5925925925925926,27
B079_080,2,0.35714285714285715,42,0.5714285714285714,42
B085_086,0,0.625,8,0.625,8
B087_090,0,0.2,10,0.2,10
B088_089,2,0.2631578947368421,19,0.47368421052631576,19
B093_096,1,0.3076923076923077,13,0.38461538461538464,13
B094_095,0,0.26666666666666666,15,0.35714285714285715,14
B099_102,0,0.4,30,0.5666666666666667,30
B100_101,1,0.4,10,0.3,10
B103_116,0,0.41935483870967744,31,0.6774193548387096,31
B104_115,2,0.24528301886792453,53,0.4528301886792453,53
B105_114,3,0.13043478260869565,46,0.2826086956521739,46
B106_113,1,0.2807017543859649,57,0.2982456140350877,57
B107_112,4,0.3389830508474576,59,0.423728813559322,59
B108_111,0,0.33707865168539325,89,0.7191011235955056,89
