task_id,trial_type,corpus,family,detected,p_value,advantage_bits_per_transition,elapsed_seconds
P-greek_dmm-feedback_global_null-0,positive,greek_dmm,feedback_global_null,0,0.12,0.00711109,29.9
P-greek_dmm-feedback_global_null-1,positive,greek_dmm,feedback_global_null,0,0.25,0.00792975,30.0
P-greek_dmm-prf_global-0,positive,greek_dmm,prf_global,0,0.325,0.00759335,31.0
P-greek_general-rotor_currier-1,positive,greek_general,rotor_currier,1,0.05,0.0103337,31.6
P-greek_general-line_keyed_currier_null-0,positive,greek_general,line_keyed_currier_null,0,0.25,0.0120155,32.3
P-greek_general-rotor_currier-0,positive,greek_general,rotor_currier,0,0.86,-0.0144088,32.6
P-greek_general-line_keyed_currier_null-1,positive,greek_general,line_keyed_currier_null,0,0.5,0.000564099,33.2
P-greek_general-feedback_global_null-1,positive,greek_general,feedback_global_null,0,0.11,0.00757006,33.3
P-greek_dmm-prf_global-1,positive,greek_dmm,prf_global,0,0.935,-0.0163724,33.4
P-greek_general-prf_global-0,positive,greek_general,prf_global,0,0.26,0.0042721,33.4
P-greek_general-prf_global-1,positive,greek_general,prf_global,0,0.085,0.013554,33.4
P-greek_dmm-line_keyed_currier_null-0,positive,greek_dmm,line_keyed_currier_null,0,0.655,-0.00460234,33.5
P-greek_dmm-rotor_currier-0,positive,greek_dmm,rotor_currier,1,0.015,0.020265,33.5
P-greek_dmm-rotor_currier-1,positive,greek_dmm,rotor_currier,0,0.98,-0.0198869,33.5
P-greek_general-feedback_global_null-0,positive,greek_general,feedback_global_null,0,0.595,-0.0016379,33.9
P-greek_dmm-line_keyed_currier_null-1,positive,greek_dmm,line_keyed_currier_null,0,0.54,0.0000640843,35.2
C-ordered_hmm-1,control,,ordered_hmm,1,0.005,0.513431,61.0
C-motif_grammar-0,control,,motif_grammar,1,0.005,0.232048,61.9
C-motif_grammar-1,control,,motif_grammar,1,0.005,0.285938,62.3
C-motif_grammar-2,control,,motif_grammar,1,0.005,0.334537,62.5
C-motif_grammar-3,control,,motif_grammar,1,0.005,0.360894,65.3
C-ordered_hmm-2,control,,ordered_hmm,0,0.925,-0.0379819,65.5
C-topic_fsm-1,control,,topic_fsm,0,1.0,-0.150967,66.1
C-ordered_hmm-3,control,,ordered_hmm,0,0.94,-0.0625834,66.5
C-ordered_hmm-0,control,,ordered_hmm,0,0.195,0.0413213,66.6
C-copy_mutate_latent-0,control,,copy_mutate_latent,1,0.005,0.193232,67.2
C-topic_fsm-2,control,,topic_fsm,0,1.0,-0.161257,67.6
C-topic_fsm-3,control,,topic_fsm,1,0.025,0.107378,67.8
C-topic_fsm-0,control,,topic_fsm,1,0.005,0.215644,67.8
C-copy_mutate_latent-3,control,,copy_mutate_latent,1,0.015,0.0758278,68.7
C-copy_mutate_latent-2,control,,copy_mutate_latent,1,0.005,0.126684,68.7
C-copy_mutate_latent-1,control,,copy_mutate_latent,0,0.21,0.0354426,69.0
