K,bits_per_token,gain_vs_iid,gain_vs_static,iterations,model,seconds_pair,seed
8,10.300235732930513,,0.539592382294745,25,iid_mixture,,101
8,10.249589783346627,0.05064594958388373,0.5902383318786286,25,hmm,97.10086989402771,101
12,10.258773298024778,,0.5810548172004802,25,iid_mixture,,101
12,10.193568089385169,0.06520520863960828,0.6462600258400886,25,hmm,101.79571795463562,101
8,10.287072067525926,,0.5345819371211805,25,iid_mixture,,202
8,10.255347630221577,0.03172443730434966,0.5663063744255302,25,hmm,89.209148645401,202
12,10.22005905034968,,0.6015949542974273,25,iid_mixture,,202
12,10.161985125675349,0.0580739246743311,0.6596688789717584,25,hmm,98.15744304656982,202
8,10.294942590664746,,0.5311047857268018,25,iid_mixture,,303
8,10.205334484809612,0.0896081058551336,0.6207128915819353,25,hmm,89.98014569282532,303
12,10.235556886364062,,0.5904904900274858,25,iid_mixture,,303
12,10.183346760531197,0.05221012583286437,0.6427006158603502,25,hmm,118.45936846733093,303
8,10.248553715884562,,0.5288357865651097,25,iid_mixture,,404
8,10.140903996605314,0.10764971927924859,0.6364855058443581,25,hmm,145.39791011810303,404
12,10.170862881209693,,0.6065266212399774,25,iid_mixture,,404
12,10.127269612103792,0.04359326910590367,0.6501198903458809,25,hmm,156.1262538433075,404
8,10.291323290396305,,0.5497226571625877,25,iid_mixture,,505
8,10.235683691035153,0.055639599361150635,0.6053622565237382,25,hmm,102.47277450561523,505
12,10.27127788441878,,0.5697680631401119,25,iid_mixture,,505
12,10.174585403240323,0.09669248117845586,0.6664605443185677,25,hmm,97.56415867805481,505
