corpus,family,group,section,representation,window_id,start,end,n_events,n_chars,mean_event_len,sd_event_len,cv_event_len,median_event_len,max_event_len,single_char_frac,length_entropy,length_autocorr1,length_change_rate,char_inventory,event_inventory,type_token_ratio,hapax_type_frac,top_event_mass,same_adjacent_event_rate,char_H0,char_H1,char_H2,char_RED1,char_RED2,char_H0_norm,char_H1_norm,event_H0,event_H1,event_RED1,first_char_H,last_char_H,first_inventory,last_inventory,first_last_MI,position_char_MI,mean_prefix_overlap,mean_suffix_overlap,mean_distinct_chars_per_event,distinct_char_ratio,digit_frac,uppercase_frac,punct_frac,space_like_boundary_rate
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:0:0,0,48,48.0,249.0,5.1875,1.589762167747113,0.30646017691510613,6.0,7.0,0.0,1.708685297359586,-0.08330161220575906,0.6170212765957447,15.0,17.0,0.3541666666666667,0.4117647058823529,0.3125,0.1276595744680851,2.516688373027049,1.4387610960606332,0.3827485987799952,0.42831178008340187,0.7339734860582683,0.6441665850218316,0.36826244832088484,3.4916778774908437,1.4778321682213007,0.5767558692203055,-0.0,-0.0,1.0,1.0,0.0,0.5529207692968057,0.36930091185410335,0.4741641337386018,3.3541666666666665,0.646586345381526,0.0,0.0,0.0,0.1927710843373494
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:1:24,24,72,48.0,242.0,5.041666666666667,1.2903218806001684,0.2559316126810251,6.0,7.0,0.0,1.6915777687477083,0.02477180482135467,0.574468085106383,15.0,21.0,0.4375,0.42857142857142855,0.25,0.1276595744680851,2.5301629486770687,1.5284552825450737,0.5080166358254059,0.3959063848657463,0.6676274133584771,0.6476155107903611,0.3912203951303655,3.933208073322317,1.3890257981945588,0.6468466014763181,-0.0,-0.0,1.0,1.0,0.0,0.5236216476561233,0.36879432624113473,0.48156028368794324,3.3333333333333335,0.6611570247933884,0.0,0.0,0.0,0.1983471074380165
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:2:48,48,96,48.0,218.0,4.541666666666667,1.1539485353438526,0.25408041145185745,5.0,6.0,0.0,1.8699926951956298,0.21443416188206071,0.5319148936170213,16.0,20.0,0.4166666666666667,0.55,0.25,0.2127659574468085,2.4541526120025066,1.6192944271353464,0.3768476206443761,0.34018185372177967,0.7672766518989089,0.6135381530006266,0.4048236067838366,3.7580753242271774,1.2965041908414365,0.6550084607183722,-0.0,0.1460942501201363,1.0,2.0,0.0,0.5169515135896012,0.4499999999999999,0.5042553191489362,2.9375,0.6467889908256881,0.0,0.0,0.0,0.2201834862385321
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:3:72,72,120,48.0,171.0,3.5625,1.1709371246996996,0.32868410517886304,3.0,5.0,0.0,1.7824690261741878,0.4655620532813508,0.6382978723404256,15.0,21.0,0.4375,0.47619047619047616,0.1875,0.10638297872340426,2.332514473527815,1.7307935135693346,0.2546550581683607,0.257970943712262,0.8528680306623073,0.5970257974844861,0.4430104890868475,3.966408657560511,1.2001355735439723,0.6974251326180545,-0.0,1.1229597296165788,1.0,5.0,0.0,0.5705076833787865,0.4460992907801418,0.3092198581560283,2.4375,0.6842105263157895,0.0,0.0,0.0,0.2807017543859649
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:4:96,96,144,48.0,178.0,3.7083333333333335,1.5937159582421063,0.42976610109899493,3.0,8.0,0.0,2.313524311826806,0.41133809354179723,0.7872340425531915,16.0,23.0,0.4791666666666667,0.5652173913043478,0.1875,0.0425531914893617,2.548394283283674,1.840069416160788,0.38740685799410507,0.2779494804901973,0.7894607374093474,0.6370985708209185,0.460017354040197,4.065468813855583,1.2378895631358309,0.6955112387243111,-0.0,1.2202820417537685,1.0,5.0,0.0,0.6574793249144566,0.4295845997973657,0.25020263424518746,2.5416666666666665,0.6853932584269662,0.0,0.0,0.0,0.2696629213483146
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:5:120,120,168,48.0,231.0,4.8125,1.727911190811997,0.35904648120768773,5.0,8.0,0.0,2.4172916179673214,0.015310744730873285,0.7446808510638298,15.0,25.0,0.5208333333333334,0.72,0.2916666666666667,0.10638297872340426,2.5367386643064784,1.5966355251000672,0.43904534381441257,0.37059518681772724,0.7250184297465785,0.6492986179745758,0.4086716753457958,3.94303033586421,1.33745965612761,0.6608041170866433,-0.0,0.2915489594998521,1.0,3.0,0.0,0.5683286108754442,0.38637284701114477,0.42897669706180336,3.0833333333333335,0.6406926406926408,0.0,0.0,0.0,0.2077922077922078
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:6:144,144,192,48.0,247.0,5.145833333333333,1.5544235712600631,0.3020742162772593,6.0,7.0,0.0,1.7918175048848801,-0.23399222206434453,0.7446808510638298,15.0,22.0,0.4583333333333333,0.5909090909090909,0.2916666666666667,0.1276595744680851,2.557545869887621,1.4694707685359742,0.4606957121312035,0.42543717950969023,0.6864886855897159,0.6546243892169368,0.3761228354302295,3.8159498052369214,1.551332114537091,0.5934610794911194,-0.0,-0.0,1.0,1.0,0.0,0.559988008382974,0.3682877406281661,0.4427558257345491,3.375,0.6558704453441296,0.0,0.0,0.0,0.19433198380566802
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:7:168,168,216,48.0,252.0,5.25,1.3768926368215255,0.26226526415648105,6.0,8.0,0.0,1.5846426428997125,-0.19712929696588474,0.6382978723404256,17.0,20.0,0.4166666666666667,0.45,0.22916666666666666,0.10638297872340426,2.654809773544025,1.4405379257694597,0.43963508216660946,0.4573856326261671,0.694811865552391,0.6495006503183106,0.3524283844813632,3.8679150886042697,1.5833675698215015,0.5906405560746534,-0.0,-0.0,1.0,1.0,0.0,0.5310226805090497,0.3464539007092199,0.4347517730496453,3.5416666666666665,0.6746031746031745,0.0,0.0,0.0,0.19047619047619047
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:8:192,192,240,48.0,237.0,4.9375,1.3448396744593758,0.27237259229556976,5.0,8.0,0.0,1.9820707533750486,0.09350750017640728,0.6170212765957447,15.0,17.0,0.3541666666666667,0.35294117647058826,0.25,0.0851063829787234,2.520174234452976,1.4880956843280044,0.4700474447323295,0.40952666526605946,0.6841282118598483,0.6450588192271726,0.3808900320886067,3.64967389677155,1.731576127345833,0.5255531928818186,-0.0,-0.0,1.0,1.0,0.0,0.5273084358223072,0.3510638297872341,0.45656028368794316,3.25,0.6582278481012658,0.0,0.0,0.0,0.20253164556962025
Ammerbach,organ_tablature,ammerbach_bookA,,paired,ammerbach_bookA:9:216,216,264,48.0,228.0,4.75,1.4068285846778443,0.2961744388795462,5.0,8.0,0.0,2.170193610587419,0.20127591321642174,0.6382978723404256,15.0,23.0,0.4791666666666667,0.6956521739130435,0.2708333333333333,0.10638297872340426,2.5541988137558285,1.5451814170936324,0.4578355167622277,0.39504262206530577,0.7037011242191994,0.6537676833405156,0.39550158349211784,3.8825592338405097,1.3981990810695963,0.6398769479463833,-0.0,0.1460942501201363,1.0,2.0,0.0,0.5327596084626416,0.38191489361702136,0.4613475177304965,3.125,0.6578947368421053,0.0,0.0,0.0,0.21052631578947367
