corpus,family,group,section,representation,window_id,start,end,n_events,n_chars,mean_event_len,sd_event_len,cv_event_len,median_event_len,max_event_len,single_char_frac,length_entropy,length_autocorr1,length_change_rate,char_inventory,event_inventory,type_token_ratio,hapax_type_frac,top_event_mass,same_adjacent_event_rate,char_H0,char_H1,char_H2,char_RED1,char_RED2,char_H0_norm,char_H1_norm,event_H0,event_H1,event_RED1,first_char_H,last_char_H,first_inventory,last_inventory,first_last_MI,position_char_MI,mean_prefix_overlap,mean_suffix_overlap,mean_distinct_chars_per_event,distinct_char_ratio,digit_frac,uppercase_frac,punct_frac,space_like_boundary_rate
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:0:0,0,48,48.0,90.0,1.875,0.6959705453537527,0.3711842908553348,2.0,3.0,0.3125,1.4772170014624826,-0.027936884766729606,0.5531914893617021,11.0,11.0,0.22916666666666666,0.36363636363636365,0.3125,0.14893617021276595,2.5707013104165175,0.0,0.0,1.0,0.0,0.7430993278107173,0.0,2.8454372523105547,1.6989036474886023,0.40293758152317116,2.709409647873455,1.1228074058019706,9.0,3.0,1.1228074058019706,1.0047392724747208,0.14893617021276595,0.3120567375886525,1.6875,0.9,0.0,0.0,0.0,0.5333333333333333
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:1:24,24,72,48.0,76.0,1.5833333333333333,0.4930066485916347,0.3113726201631377,2.0,2.0,0.4166666666666667,0.9798687566511528,0.16791512356486704,0.40425531914893614,12.0,13.0,0.2708333333333333,0.3076923076923077,0.25,0.1702127659574468,2.867931155916391,0.07142857142857142,0.0,0.9750940425186921,1.0,0.7999891645559678,0.019924496117937847,3.2620467530884993,1.6355482000697206,0.4986128882054842,2.779373115296189,1.8591161849970086,9.0,7.0,1.3764425472046988,0.9494520153879482,0.1702127659574468,0.32978723404255317,1.5833333333333333,1.0,0.0,0.0,0.0,0.6315789473684211
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:2:48,48,96,48.0,60.0,1.25,0.4330127018922193,0.34641016151377546,1.0,2.0,0.75,0.8112781244591328,0.2525602428860814,0.2765957446808511,11.0,12.0,0.25,0.25,0.2708333333333333,0.2553191489361702,3.1321653825955296,0.0,0.0,1.0,0.0,0.9053988423188775,0.0,3.1016437451870926,1.6187209529121551,0.4781086785276453,2.809977078520426,2.7730096303783984,9.0,9.0,2.4813429637117315,0.7219280948873625,0.2553191489361702,0.2978723404255319,1.25,1.0,0.0,0.0,0.0,0.8
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:3:72,72,120,48.0,51.0,1.0625,0.24206145913796356,0.22782254977690689,1.0,2.0,0.9375,0.3372900666170139,-0.06818181818181818,0.1276595744680851,10.0,9.0,0.1875,0.1111111111111111,0.25,0.1276595744680851,3.098731597536567,0.0,0.0,1.0,0.0,0.9328111593702743,0.0,2.9494730535541165,1.7235822605828401,0.4156304433749877,2.9494730535541165,2.9494730535541165,9.0,9.0,2.9494730535541165,0.32275695889739797,0.1276595744680851,0.1276595744680851,1.0625,1.0,0.0,0.0,0.0,0.9411764705882353
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:4:96,96,144,48.0,78.0,1.625,0.8322910148099242,0.5121790860368765,1.0,3.0,0.6041666666666666,1.357145903560534,0.34838970698781174,0.40425531914893614,12.0,14.0,0.2916666666666667,0.14285714285714285,0.22916666666666666,0.10638297872340426,2.9303497659185904,0.09182958340544896,0.0,0.968662586127611,1.0,0.8174003954934305,0.025615214493032043,3.4367875459092416,1.6511196346094672,0.5195747154709138,2.8492931513213304,2.8802086399747475,9.0,11.0,2.2927142453868368,0.9883408682410018,0.10638297872340426,0.15602836879432624,1.3958333333333333,0.8589743589743589,0.0,0.0,0.0,0.6153846153846154
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:5:120,120,168,48.0,93.0,1.9375,0.7189764136140583,0.3710846005749978,2.0,3.0,0.2916666666666667,1.5141574652393224,-0.08833619210977703,0.6382978723404256,11.0,10.0,0.20833333333333334,0.2,0.2916666666666667,0.1276595744680851,2.613613273080046,0.08888888888888889,0.0,0.9659900376982181,1.0,0.7555036668450099,0.0256946512282567,2.779520514364954,1.85566748738386,0.33237856033315505,2.638793691403215,1.324344026199031,8.0,4.0,1.2410106928656974,1.017601273922946,0.1276595744680851,0.2304964539007092,1.7083333333333333,0.8817204301075269,0.0,0.0,0.0,0.5161290322580645
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:6:144,144,192,48.0,82.0,1.7083333333333333,0.45452967144315476,0.26606614913745646,2.0,2.0,0.2916666666666667,0.8708644692353644,-0.11904761904761899,0.46808510638297873,12.0,11.0,0.22916666666666666,0.18181818181818182,0.2708333333333333,0.10638297872340426,2.9251100598785147,0.0810261030048079,0.0,0.9722998104870717,1.0,0.8159388164562658,0.022601659846792983,3.0772462748393936,1.8641593902161944,0.39421182975890096,2.9624592955825824,1.3415082932664202,9.0,5.0,1.226721314009609,0.9788698505067783,0.10638297872340426,0.26595744680851063,1.7083333333333333,1.0,0.0,0.0,0.0,0.5853658536585367
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:7:168,168,216,48.0,82.0,1.7083333333333333,0.6757197808427857,0.39554328634699654,2.0,4.0,0.375,1.1752835873133534,0.3297403816673369,0.3829787234042553,13.0,13.0,0.2708333333333333,0.23076923076923078,0.25,0.14893617021276595,3.05033294963164,0.24307830901442373,0.0,0.9203108929325968,1.0,0.8243163466972969,0.06568903360937159,3.2131193458885665,1.7093339665454759,0.4680141686200669,2.7347541684195993,1.889097655573916,8.0,8.0,1.52551945736176,1.1955408106806322,0.1595744680851064,0.2872340425531915,1.7083333333333333,1.0,0.0,0.0,0.0,0.5853658536585367
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:8:192,192,240,48.0,73.0,1.5208333333333333,0.7634784250753622,0.5020132110084574,1.0,4.0,0.6041666666666666,1.3456956717039195,0.3872699386503067,0.3617021276595745,13.0,15.0,0.3125,0.4,0.2916666666666667,0.1702127659574468,3.1812562324928004,0.2545811190640112,0.0,0.9199746576639242,1.0,0.8596968130292628,0.06879753176790013,3.2207171178838543,1.6590213483375227,0.484890697439591,2.494910023274066,2.60297785841712,8.0,10.0,1.9345642534357372,1.144638287724257,0.18085106382978725,0.20212765957446807,1.5208333333333333,1.0,0.0,0.0,0.0,0.6575342465753425
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:9:216,216,264,48.0,75.0,1.5625,0.6741120703068099,0.4314317249963583,1.0,4.0,0.5208333333333334,1.3238173623437528,0.18854969159609447,0.3829787234042553,13.0,13.0,0.2708333333333333,0.38461538461538464,0.3125,0.2127659574468085,3.055783786476914,0.2818385360902523,0.0,0.9077688227362478,1.0,0.8257893707864482,0.07616352583952732,3.0869140039933596,1.6840731987398037,0.454447646885784,2.6260191486513986,2.070516557257026,9.0,7.0,1.6848225451324983,1.123818523481344,0.2127659574468085,0.30851063829787234,1.5625,1.0,0.0,0.0,0.0,0.64
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:10:240,240,288,48.0,80.0,1.6666666666666667,0.5892556509887895,0.3535533905932737,2.0,4.0,0.375,1.0862104406240476,0.09383033419023143,0.40425531914893614,12.0,11.0,0.22916666666666666,0.36363636363636365,0.3333333333333333,0.2127659574468085,2.787483183763734,0.1218792040590664,0.0,0.9562762549496346,1.0,0.7775487702320456,0.03399734419385112,2.89967389677155,1.871790818107172,0.35448230223709165,2.7610276044371003,1.1848225451324987,9.0,4.0,1.1274290555040931,1.105866621101474,0.2127659574468085,0.3829787234042553,1.6666666666666667,1.0,0.0,0.0,0.0,0.6
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:11:264,264,312,48.0,65.0,1.3541666666666667,0.47826001180204153,0.3531766240999691,1.0,2.0,0.6458333333333334,0.9377342939868041,0.300227880981529,0.3191489361702128,10.0,12.0,0.25,0.25,0.3333333333333333,0.19148936170212766,2.892198016839334,0.0,0.0,1.0,0.0,0.8706383564685197,0.0,3.0097616575037227,1.9009569780414128,0.3684028191062629,2.7938339913245502,2.3121185678942275,9.0,8.0,2.0961909017150555,0.8290590693996656,0.19148936170212766,0.2765957446808511,1.3541666666666667,1.0,0.0,0.0,0.0,0.7384615384615384
Ammerbach,organ_tablature,ammerbach_bookA,,pitch,ammerbach_bookA:12:288,288,336,48.0,56.0,1.1666666666666667,0.3726779962499649,0.31943828249996986,1.0,2.0,0.8333333333333334,0.6500224216483541,0.2875826047916573,0.19148936170212766,9.0,9.0,0.1875,0.1111111111111111,0.3541666666666667,0.19148936170212766,2.8676710611464786,0.0,0.0,1.0,0.0,0.9046494979665739,0.0,2.7803313296581766,1.876934558605454,0.3249241417438508,2.6553313296581766,2.6212589958373487,8.0,8.0,2.4962589958373487,0.5916727785823275,0.19148936170212766,0.22340425531914893,1.1666666666666667,1.0,0.0,0.0,0.0,0.8571428571428571
