corpus,family,group,section,representation,window_id,start,end,n_events,n_chars,mean_event_len,sd_event_len,cv_event_len,median_event_len,max_event_len,single_char_frac,length_entropy,length_autocorr1,length_change_rate,char_inventory,event_inventory,type_token_ratio,hapax_type_frac,top_event_mass,same_adjacent_event_rate,char_H0,char_H1,char_H2,char_RED1,char_RED2,char_H0_norm,char_H1_norm,event_H0,event_H1,event_RED1,first_char_H,last_char_H,first_inventory,last_inventory,first_last_MI,position_char_MI,mean_prefix_overlap,mean_suffix_overlap,mean_distinct_chars_per_event,distinct_char_ratio,digit_frac,uppercase_frac,punct_frac,space_like_boundary_rate
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:0:0,0,48,48.0,103.0,2.1458333333333335,0.40771637064126925,0.19000374554156235,2.0,4.0,0.0,0.6248172459056407,-0.13101604278074874,0.2553191489361702,14.0,12.0,0.25,0.3333333333333333,0.3541666666666667,0.2765957446808511,2.8296083152913627,1.7569101720282287,0.0,0.3790977491358831,1.0,0.743195308348653,0.46145163978533,2.904793172388116,1.1394583793656405,0.6077316656494142,0.77655578544446,2.7127248192865823,2.0,10.0,0.6261540990095926,1.0589086455891317,0.648936170212766,0.2872340425531915,2.1458333333333335,1.0,0.0,0.0,0.0,0.4660194174757281
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:1:24,24,72,48.0,106.0,2.2083333333333335,0.45452967144315476,0.20582475687991914,2.0,4.0,0.0,0.7905731978955793,-0.01293103448275865,0.2978723404255319,15.0,14.0,0.2916666666666667,0.35714285714285715,0.16666666666666666,0.1276595744680851,3.10687445267942,2.20204212448706,0.27548875021634683,0.2912355622905901,0.874893969033168,0.7952294482399009,0.5636303527317177,3.4333554723910824,1.2373983378953148,0.6395950411060825,0.8426578772022391,3.0406052846907765,2.0,11.0,0.5646946687587446,1.1553553468532414,0.5673758865248227,0.1453900709219858,2.2083333333333335,1.0,0.0,0.0,0.0,0.45283018867924524
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:2:48,48,96,48.0,105.0,2.1875,0.44046613566387444,0.2013559477320569,2.0,4.0,0.0,0.7406164955149536,0.02981651376146788,0.2553191489361702,16.0,15.0,0.3125,0.3333333333333333,0.14583333333333334,0.14893617021276595,3.195462624543909,2.1720186090368716,0.2222222222222222,0.32028038996485353,0.8976886195644699,0.7988656561359773,0.5430046522592179,3.559955011637033,1.378595479137685,0.6127491851354204,0.9949848281859701,3.136386702782515,2.0,12.0,0.6390230297030461,1.1185076626648187,0.5780141843971631,0.16666666666666666,2.1875,1.0,0.0,0.0,0.0,0.45714285714285713
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:3:72,72,120,48.0,100.0,2.0833333333333335,0.2763853991962833,0.13266499161421597,2.0,3.0,0.0,0.41381685030363374,-0.0930232558139533,0.1702127659574468,11.0,11.0,0.22916666666666666,0.18181818181818182,0.16666666666666666,0.1702127659574468,2.7938374472166734,1.8395052163175787,0.0,0.3415847374548711,1.0,0.8076001364400989,0.5317362558656896,3.1752229822751823,1.5105630302627582,0.5242655275881206,0.9886994082884974,2.8205271307256368,2.0,9.0,0.6340035567389521,0.932957583511524,0.5851063829787234,0.19148936170212766,2.0833333333333335,1.0,0.0,0.0,0.0,0.48
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:4:96,96,144,48.0,103.0,2.1458333333333335,0.3529390488770295,0.1644764499621108,2.0,3.0,0.0,0.5993142373098092,-0.007142857142857113,0.2553191489361702,13.0,13.0,0.2708333333333333,0.15384615384615385,0.1875,0.14893617021276595,2.9536352167386344,2.010487672680693,1.0870914963481157,0.3193175442630836,0.4592896484171736,0.7981849298229851,0.5433104781641077,3.3652679706381496,1.4553963402959156,0.5675243834980751,0.9182958340544896,3.0282533693584752,2.0,11.0,0.5812812327748151,1.0558079765076762,0.5780141843971631,0.1702127659574468,2.1458333333333335,1.0,0.0,0.0,0.0,0.4660194174757281
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:5:120,120,168,48.0,105.0,2.1875,0.44046613566387444,0.2013559477320569,2.0,4.0,0.0,0.7406164955149536,-0.04187192118226601,0.2553191489361702,11.0,13.0,0.2708333333333333,0.46153846153846156,0.3541666666666667,0.2978723404255319,2.7799906545294735,1.6646588341176134,0.6666666666666666,0.40119984525654284,0.5995175389676486,0.8035975157169136,0.4811943167627456,2.9983395264646377,1.230195879503734,0.5897076136156381,0.8426578772022391,2.608153431100547,2.0,10.0,0.45247178183814807,1.0866217037207666,0.6631205673758864,0.30851063829787234,2.1875,1.0,0.0,0.0,0.0,0.45714285714285713
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:6:144,144,192,48.0,106.0,2.2083333333333335,0.4545296714431547,0.2058247568799191,2.0,4.0,0.0,0.7905731978955793,-0.012931034482758626,0.2978723404255319,14.0,13.0,0.2708333333333333,0.23076923076923078,0.25,0.19148936170212766,3.101275312819558,2.0134702419954538,0.0,0.3507605617364924,1.0,0.8145485189343838,0.5288370228713315,3.3422804071431447,1.1676136289059058,0.6506535997367324,0.9949848281859701,2.9073793316077237,2.0,10.0,0.6612244395729103,1.1222387739817505,0.5886524822695036,0.2092198581560284,2.2083333333333335,1.0,0.0,0.0,0.0,0.45283018867924524
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:7:168,168,216,48.0,106.0,2.2083333333333335,0.4545296714431547,0.2058247568799191,2.0,4.0,0.0,0.7905731978955793,-0.012931034482758664,0.2978723404255319,15.0,14.0,0.2916666666666667,0.2857142857142857,0.16666666666666666,0.06382978723404255,3.126547080081628,2.3116995687248365,0.27548875021634683,0.26062217855216735,0.8808284805069587,0.8002648150925895,0.5916980555645115,3.486440501696144,1.3980745945648232,0.598996571464603,0.77655578544446,3.1103207557584303,2.0,11.0,0.5152230187635576,1.173391727020789,0.524822695035461,0.09219858156028368,2.2083333333333335,1.0,0.0,0.0,0.0,0.45283018867924524
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:8:192,192,240,48.0,103.0,2.1458333333333335,0.4077163706412693,0.19000374554156238,2.0,4.0,0.0,0.6248172459056407,-0.11778067278916177,0.23404255319148937,16.0,14.0,0.2916666666666667,0.35714285714285715,0.16666666666666666,0.1702127659574468,3.050706381047381,1.986637608284112,0.0,0.348794226600709,1.0,0.7626765952618453,0.496659402071028,3.3865085958184387,1.4337621691045281,0.5766252680194299,0.9886994082884974,3.0318127442688927,2.0,12.0,0.6340035567389513,1.0324424948823863,0.5957446808510638,0.19148936170212766,2.1458333333333335,1.0,0.0,0.0,0.0,0.4660194174757281
Ammerbach,organ_tablature,ammerbach_inferred_bookA,,flattened,ammerbach_inferred_bookA:9:216,216,264,48.0,103.0,2.1458333333333335,0.3529390488770295,0.1644764499621108,2.0,3.0,0.0,0.5993142373098092,-0.007142857142857106,0.2553191489361702,12.0,13.0,0.2708333333333333,0.15384615384615385,0.1875,0.1276595744680851,2.9313788068340636,2.0238846998848388,1.0870914963481157,0.30957926857953,0.4628688598663884,0.8176874391975881,0.5645483598441299,3.399340304458977,1.5009646264677514,0.5584541434410352,0.954434002924965,2.9463988803082706,2.0,10.0,0.5014925787742586,1.054856259502396,0.5673758865248227,0.13829787234042554,2.1458333333333335,1.0,0.0,0.0,0.0,0.4660194174757281
