sample_id,historical_class,folio
B01,Biological_B,f75r
B02,Biological_B,f75v
B03,Biological_B,f76r
B04,Biological_B,f76v
B05,Biological_B,f77r
B06,Biological_B,f77v
B07,Biological_B,f78r
B08,Biological_B,f78v
B09,Biological_B,f79r
B10,Biological_B,f79v
B11,Biological_B,f80r
B12,Biological_B,f80v
A01,Herbal_A,f1r
A02,Herbal_A,f3r
A03,Herbal_A,f5v
A04,Herbal_A,f7v
A05,Herbal_A,f10r
A06,Herbal_A,f11r
A07,Herbal_A,f14r
A08,Herbal_A,f15r
A09,Herbal_A,f16r
A10,Herbal_A,f18r
A11,Herbal_A,f20v
H01,Herbal_B,f21r
H02,Herbal_B,f22r
H03,Herbal_B,f23r
H04,Herbal_B,f24r
H05,Herbal_B,f25v
H06,Herbal_B,f26r
H07,Herbal_B,f26v
H08,Herbal_B,f28r
H09,Herbal_B,f28v
H10,Herbal_B,f31r
H11,Herbal_B,f31v
H12,Herbal_B,f32r
H13,Herbal_B,f36r
H14,Herbal_B,f39v
H15,Herbal_B,f41r
H16,Herbal_B,f41v
H17,Herbal_B,f48v
