K,mean_bits,se_bits,mean_gain,sd_gain
2,8.548503700161673,0.064668032875032,0.7915658363639075,0.030070896139998398
3,8.161940324251665,0.06338803966584654,1.1781292122739155,0.027753675881560625
4,8.057968347524897,0.06027498358505944,1.282101189000684,0.021788255940075857
5,7.9722890300576825,0.05746166774653018,1.3677805064678992,0.01896519404401651
6,7.907448229824371,0.05948530690480037,1.4326213067012101,0.022552323312534497
7,7.863597853684179,0.0586397615616374,1.476471682841403,0.02189730958944457
8,7.817647650855811,0.05992691283085552,1.5224218856697702,0.02569012786900375
9,7.772416188755459,0.06426720881004734,1.567653347770122,0.034358391865766134
10,7.740507888215191,0.06425378730915898,1.5995616483103903,0.031240836349862508
11,7.72679409633646,0.06443622406755024,1.6132754401891212,0.033124277001988764
12,7.708683936324656,0.0664346797833848,1.631385600200926,0.04197954105937351
13,7.687604840878135,0.06089236386194501,1.6524646956474467,0.03323722134440048
14,7.6661375005461405,0.061140680031161486,1.6739320359794398,0.0313035224146916
15,7.661522947829762,0.05826390868124566,1.6785465886958189,0.030206983677380523
16,7.653069703568669,0.05819212708380879,1.6869998329569131,0.023727027357243455
17,7.636064342470666,0.05656274163498053,1.7040051940549141,0.02762469328143718
18,7.6305713142088845,0.059955721161149944,1.7094982223166961,0.028414013468824578
19,7.626423892876626,0.05513008325522392,1.7136456436489549,0.02361304218079113
20,7.620300575513193,0.0553199810923351,1.7197689610123874,0.01849625656021025
21,7.607324101762776,0.05469342025187537,1.7327454347628037,0.028657456846175208
22,7.604306103141259,0.06169357465434677,1.7357634333843222,0.0379907036638739
23,7.599173460529097,0.057998308447148574,1.7408960759964849,0.03164603505250034
24,7.598868563220494,0.06232112134686046,1.7412009733050868,0.03678405087616268
25,7.588756000479196,0.05390841740662762,1.7513135360463845,0.024813995051337908
26,7.579360469940676,0.05889601201735195,1.7607090665849054,0.02845276387444687
27,7.5710287502161195,0.05746747797900247,1.7690407863094606,0.03177696882622976
28,7.575142117501889,0.05728658684793531,1.7649274190236917,0.02829767624847923
29,7.575410741524358,0.05419273485198866,1.7646587950012225,0.024792673590129297
30,7.5719476776335,0.05637423589190746,1.768121858892081,0.020355351433333377
