K,mean_bits,se_bits,mean_P_bits,mean_gain_over_P,sd_gain,mean_n
2,8.40289012134711,0.0707361206363408,9.122206137151114,0.7193160158040052,0.05952451196364932,6234.6
3,8.040043082596656,0.07185315220083667,9.122206137151114,1.0821630545544592,0.0615205316070394,6234.6
4,7.976943605970942,0.06277001409262274,9.122206137151114,1.1452625311801718,0.03769748276720921,6234.6
5,7.922866395548011,0.05161361098669453,9.122206137151114,1.1993397416031017,0.01765558810169826,6234.6
6,7.890216772199753,0.061589100914744746,9.122206137151114,1.2319893649513598,0.027380206606214333,6234.6
7,7.851482396715544,0.06827997574649407,9.122206137151114,1.2707237404355702,0.04059106705468141,6234.6
8,7.829884163576985,0.06063822502927,9.122206137151114,1.2923219735741276,0.03435551478803433,6234.6
9,7.813542487244787,0.0625353806397778,9.122206137151114,1.3086636499063256,0.03547277453816447,6234.6
10,7.7909629772154805,0.06323339404823435,9.122206137151114,1.3312431599356322,0.039727395384194016,6234.6
11,7.781222646703013,0.06590561952061129,9.122206137151114,1.3409834904480993,0.042176709822952435,6234.6
12,7.787461325873127,0.0671725655181686,9.122206137151114,1.3347448112779847,0.05233649139100206,6234.6
13,7.7445063436456305,0.062223174796625445,9.122206137151114,1.3776997935054822,0.041277689104174474,6234.6
14,7.748932408282433,0.06025134176072004,9.122206137151114,1.3732737288686816,0.03400560277620143,6234.6
15,7.752426938669643,0.06113689942289124,9.122206137151114,1.3697791984814707,0.0439967957875311,6234.6
16,7.7487755208685245,0.05805986652947276,9.122206137151114,1.3734306162825893,0.021659659567656482,6234.6
17,7.740289990006566,0.05678686136453513,9.122206137151114,1.3819161471445474,0.02677168881566537,6234.6
18,7.735713427399366,0.06424971343850297,9.122206137151114,1.3864927097517463,0.04783811796605975,6234.6
19,7.749510453832862,0.061765468560403235,9.122206137151114,1.3726956833182522,0.049061204330238875,6234.6
20,7.733223166195411,0.05749912579848258,9.122206137151114,1.388982970955702,0.041554200030535476,6234.6
21,7.744193687582149,0.05498742231397033,9.122206137151114,1.3780124495689652,0.039616166874335924,6234.6
22,7.726466409110569,0.05647119449981917,9.122206137151114,1.3957397280405448,0.04209733631438343,6234.6
23,7.7175918288423615,0.0546974288788334,9.122206137151114,1.404614308308752,0.036336046691403015,6234.6
24,7.727569022907188,0.05353443716012107,9.122206137151114,1.3946371142439253,0.035659566286413216,6234.6
25,7.738495310775358,0.05626959987637966,9.122206137151114,1.3837108263757567,0.0354945830145159,6234.6
26,7.734558269006352,0.05923011918232817,9.122206137151114,1.3876478681447602,0.042522296562929995,6234.6
27,7.746415006061646,0.057127571953333796,9.122206137151114,1.3757911310894675,0.038540130428451516,6234.6
28,7.7426587858261895,0.060240780178693124,9.122206137151114,1.379547351324924,0.051698401373757856,6234.6
29,7.742512673952598,0.05511016642268592,9.122206137151114,1.3796934631985154,0.045548253758370745,6234.6
30,7.741876284367263,0.056367255689373306,9.122206137151114,1.3803298527838506,0.04045329659231862,6234.6
