group_id,folio,side,side_order,source1_dipl,source1_norm,source2_dipl,source2_norm,source3_dipl,source3_norm,source4_dipl,source4_norm,syll1,syll2,syll3,syll4,compound_dipl,compound_norm,immediate_bracket,parent_graphic_id,group_conf,text_conf,evidence,notes
B4A01,8v,L,1,Tripode,tripode,Pepo,pepo,Corvus,corvus,Vetula mancina,vetula mancina,TRI,PE,COR,VE,TRI PE COR VE,tripe corve,1,G-L1,A,B,PRIMARY+SECONDARY,"First group: primary image consistent with Cacopardo's explicit example; diplomatic spellings require final palaeographic pass"
B4A02,8v,L,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L1,A,U,PRIMARY,"Untranscribed"
B4A03,8v,L,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L1,A,U,PRIMARY,"Untranscribed"
B4A04,8v,L,4,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L1,A,U,PRIMARY,"Untranscribed"
B4A05,8v,L,5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L1,A,U,PRIMARY,"Untranscribed"
B4A06,8v,L,6,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L2,A,U,PRIMARY,"Untranscribed"
B4A07,8v,L,7,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L2,A,U,PRIMARY,"Untranscribed"
B4A08,8v,L,8,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L2,A,U,PRIMARY,"Untranscribed"
B4A09,8v,L,9,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L2,A,U,PRIMARY,"Untranscribed"
B4A10,8v,L,10,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-L2,A,U,PRIMARY,"Untranscribed"
B4A11,8v,R,1,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R1,A,U,PRIMARY,"Untranscribed"
B4A12,8v,R,2,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R1,A,U,PRIMARY,"Untranscribed"
B4A13,8v,R,3,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R1,A,U,PRIMARY,"Untranscribed"
B4A14,8v,R,4,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R1,A,U,PRIMARY,"Untranscribed"
B4A15,8v,R,5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R1,A,U,PRIMARY,"Untranscribed"
B4A16,8v,R,6,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R2,A,U,PRIMARY,"Untranscribed"
B4A17,8v,R,7,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R2,A,U,PRIMARY,"Untranscribed"
B4A18,8v,R,8,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R2,A,U,PRIMARY,"Untranscribed"
B4A19,8v,R,9,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R2,A,U,PRIMARY,"Untranscribed"
B4A20,8v,R,10,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1,G-R2,A,U,PRIMARY,"Untranscribed"
