system,sampling,slots,types,mean_len,p10_len,median_len,p90_len,edit1_pairs,mean_degree,isolated_frac,edit_prefix,edit_internal,edit_suffix,h_char,h_char_abspos,h_char_rpos,h_first,h_last,h_next_prev,bigram_types
Voynich_RF,type_weighted,NA,7893,6.4968,4,6,9,28435,7.2051,0.149119,0.290662,0.527836,0.181502,3.895351,3.573405,3.420747,3.397288,2.831002,2.535522,282
Matteo_1420,lemma_uniform,2,7893,4.913468,4,5,6,26094,6.611935,0.126314,0.304783,0.509542,0.185675,4.064149,3.897069,3.971293,4.096191,3.707300,3.381814,396
Matteo_1420,lemma_uniform,3,7893,7.105537,5,7,9,622,0.157608,0.885215,0.200965,0.673633,0.125402,4.049192,3.955160,3.992627,4.089553,3.654255,3.462177,407
Matteo_1420,lemma_uniform,5,7893,11.814139,10,12,14,0,0,1.0,0,0,0,4.047125,3.993811,4.014977,4.099961,3.655045,3.535356,421
Matteo_1420,lemma_uniform,mix_2_3_5_equal,7893,8.039655,4,7,13,4134,1.047510,0.734828,0.305999,0.507499,0.186502,4.053226,3.968904,4.010236,4.099032,3.654031,3.487717,412
Matteo_1420,unique_syllable_uniform,2,7893,5.802610,5,6,7,4431,1.122767,0.374636,0.249154,0.565335,0.185511,4.123069,3.908843,3.957769,4.104545,3.851909,3.455113,415
Matteo_1420,unique_syllable_uniform,3,7893,8.706702,7,9,10,15,0.003801,0.996199,0,0.933333,0.066667,4.125435,3.979916,4.025709,4.105940,3.865066,3.559982,436
Matteo_1420,unique_syllable_uniform,5,7893,14.509946,13,15,16,0,0,1.0,0,0,0,4.120503,4.038826,4.061089,4.081820,3.843349,3.623258,443
Matteo_1420,unique_syllable_uniform,mix_2_3_5_equal,7893,9.698974,5,9,15,515,0.130495,0.895350,0.215534,0.590291,0.194175,4.121681,4.001817,4.036609,4.118271,3.857866,3.575850,439
IID_control,uniform_char,K2_mean,7893,4.913974,5,5,5,485,0.122894,0.884581,0.183505,0.622680,0.193814,4.584720,4.582925,4.582947,4.582930,4.582320,4.572802,576
IID_control,source_char,K2_mean,7893,4.916382,5,5,5,4878,1.236032,0.426327,0.200082,0.595121,0.204797,3.976219,3.975062,3.975087,3.987463,3.963079,3.961668,470
Latin_source_vocabulary,unique_lemmas,NA,1846,6.686349,NA,NA,NA,752,0.814735,0.635428,0.380319,0.416223,0.203457,NA,NA,NA,NA,NA,NA,NA
