rank,score,manuscript_id,folio_label,canvas_index,region_url,search_url,work_id,x,y,w,h,rotation_deg,base_width
1,0.4189774107483759,acq:71109ce9-6ded-4521-8c45-24b9a2532335,1414,1413,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F13%2FRB00008743_01414_0.ptif/1626,473,1020,714/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00008743%2F13%2FRB00008743_01414_0.ptif/full/768,/0/default.jpg",101934,459,155,150,105,5.0,145
2,0.4209259753150646,zeg_horae_ad_usum_catalaunensem,NP,181,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15113927/f182/239,917,556,410/full/600,/0/default.jpg","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15113927/f182/full/768,/0/default.jpg",552504,156,443,145,107,0.0,145
3,0.42103378236791844,arc_sv_prokop_microform_jeho_klaster_a_pamatka,677,665,"https://iiif.archive.org/image/iiif/3/MN5142ucmf_5%2FMN5142ucmf_5_tif.zip%2FMN5142ucmf_5_tif%2FMN5142ucmf_5_0677.tif/732,996,646,477/full/600,/0/default.jpg","https://iiif.archive.org/image/iiif/3/MN5142ucmf_5%2FMN5142ucmf_5_tif.zip%2FMN5142ucmf_5_tif%2FMN5142ucmf_5_0677.tif/full/768,/0/default.jpg",280975,330,417,145,107,0.0,145
4,0.4219532946724086,arch_cod_h45,Tail,289,"https://www.e-codices.unifr.ch/loris/phmb/phmb-H00045/phmb-H00045_e008.jp2/2278,3790,1968,1450/full/600,/0/default.jpg","https://www.e-codices.unifr.ch/loris/phmb/phmb-H00045/phmb-H00045_e008.jp2/full/768,/0/default.jpg",311835,336,512,145,107,0.0,145
5,0.42233487131030123,cpg_833,Oberschnitt,207,"https://digi.ub.uni-heidelberg.de/iiif/2/cpg833%3A101r.jpg/1590,458,749,554/full/600,/0/default.jpg","https://digi.ub.uni-heidelberg.de/iiif/2/cpg833%3A101r.jpg/full/768,/0/default.jpg",409040,573,188,145,107,0.0,145
6,0.42239745189900646,acq:e3fed553-8107-4536-9376-b650a7fd7755,image 132,131,"https://iiif-cloud.princeton.edu/iiif/2/3f%2F17%2F95%2F3f1795283b864bf096afca936a936884%2Fintermediate_file/2911,1291,1876,1385/full/600,/0/default.jpg","https://iiif-cloud.princeton.edu/iiif/2/3f%2F17%2F95%2F3f1795283b864bf096afca936a936884%2Fintermediate_file/full/768,/0/default.jpg",197436,433,207,145,107,0.0,145
7,0.4230411885244411,zod_besan_on_biblioth_que_municipale_ms_69,p. 137 - vue 2,68,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vt3yaxh2t1rw/459,783,696,487/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vt3yaxh2t1rw/full/768,/0/default.jpg",562879,220,323,150,105,5.0,145
8,0.4231679653485044,zod_lyon_biblioth_que_municipale_ms_539,f. 001v - vue 4,3,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1mq2hnzhvwx/437,873,949,700/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1mq2hnzhvwx/full/768,/0/default.jpg",567991,164,264,145,107,0.0,145
9,0.42373280215727216,zod_paris_biblioth_que_mazarine_ms_507,f. 069v,59,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vct10sh9ku56/828,153,589,434/full/600,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vct10sh9ku56/full/768,/0/default.jpg",571306,396,101,145,107,0.0,145
10,0.42381553704298325,acq:61168b29-40b2-49ec-ba86-859aa436b6de,17,16,"https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F01%2FRB00009453_00017_0.ptif/1425,931,986,726/full/600,/0/default.jpg","https://rmda.kulib.kyoto-u.ac.jp/iiif/3/RB00009453%2F01%2FRB00009453_00017_0.ptif/full/768,/0/default.jpg",88155,407,270,145,107,0.0,145
